epoch,epoch_time_s,train_loss,train_loss_cls,train_loss_reg,train_haversine_median_km,train_haversine_mean_km,train_haversine_p90_km,val_loss,val_loss_cls,val_loss_reg,val_haversine_median_km,val_haversine_mean_km,val_haversine_p90_km
1,49.838929653167725,4.1162818315323815,3.9758024851927596,0.14047934627683645,4297.056424295044,5817.089128582851,13756.051993268291,3.680068516731262,3.544751900434494,0.13531662058085203,2450.3117792249204,5091.440207074545,13264.50848294821
2,49.14785599708557,3.264443431007728,3.1341985316758745,0.13024490301528674,1518.818941136919,4297.574629674586,12200.469490608368,3.486684817075729,3.350376719236374,0.1363081093877554,1589.3944864885498,4372.55391616644,12459.105568150146
3,51.22348761558533,2.897640866509984,2.772853038953931,0.12478783442063278,990.56414761181,3735.9462468139413,11638.933457457477,3.4798402965068815,3.342562472820282,0.13727781400084496,1534.3895220579327,4292.971361969164,12305.92082782076
4,58.904624462127686,2.608690791585472,2.491122033154027,0.11756876186373529,735.1605672741429,3285.108126003502,10780.2131175938,3.532055026292801,3.3929515719413756,0.13910346068441867,1462.2127207521166,4206.1312820614085,11780.694719953302
5,53.17208194732666,2.3409407369876174,2.2326205821519487,0.10832015699131435,545.6951360348464,2882.4016471340474,10179.784218828883,3.6116367876529694,3.4672808587551116,0.14435593038797379,1483.1547673702694,4082.038041062001,11740.562182531998
6,55.16387367248535,2.0798955864450903,1.9808938998854562,0.09900168541902571,415.2247521517289,2481.2546776391746,9295.524203552011,3.7891209602355955,3.636687159538269,0.15243379529565573,1514.67649690895,4289.6664155679355,12612.424851542024
7,56.89030385017395,1.838787202085002,1.7495371123378196,0.0892500916098276,342.1514822164438,2110.440975756233,8626.896812056102,3.925835889577866,3.7716878950595856,0.1541479904204607,1543.3349329934063,4279.603774877941,12328.09974386881
8,58.49197483062744,1.6037892796350328,1.5219109286083263,0.0818783546473538,289.3479141390723,1656.5548713261703,7134.44204343547,4.146751368045807,3.985831153392792,0.1609202204272151,1597.6292905449604,4350.018699802295,12306.828101662655
9,60.12586522102356,1.4003970023621335,1.3244436021601216,0.0759533986114384,258.551536428177,1280.5162351016006,2927.8283375158308,4.355332744121552,4.191960769891739,0.16337200347334146,1593.2693460658472,4321.902833225432,12364.245387873125
10,60.19302201271057,1.2150436813911696,1.1440263360403897,0.07101734839589073,235.34360522648268,908.9915829859,1109.226137081886,4.49296036362648,4.3190259516239164,0.17393441945314408,1672.1393756662303,4422.573252648009,12319.19865393214
11,64.11214828491211,1.0685005576423046,1.0019442521119386,0.0665563080104047,217.5016719053546,645.0563279350359,542.991392773029,4.704489785432815,4.527260494232178,0.17722930982708932,1815.3662678662847,4621.634698881181,12859.170504623697
12,65.11814284324646,0.9632543990116441,0.9003775729222244,0.06287682585920511,207.74516222568127,475.3159154867275,440.65329507734896,4.786129659414291,4.608607095479965,0.17752257287502288,1844.0560481009495,4553.411234173399,12328.441517465684
